Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
729606240.442077,-1.284101,0.704937,57.21354,-0.018646,-0.021255,0.990326,0.001022,-0.078125,-0.023982,63.233887,24.747375,-147.948639,,,
729606240.445341,-1.285293,0.673619,57.205383,-0.018646,-0.021255,0.990326,0.001022,-0.078125,-0.023982,63.233887,24.747375,-147.948639,,,
729606240.44868,-1.285293,0.673619,57.205383,-0.018646,-0.021255,0.990326,0.001022,-0.078125,-0.023982,63.233887,24.747375,-147.948639,,,
729606240.452021,-1.283536,0.645736,57.195201,-0.008789,-0.019806,0.993881,0.007943,-0.095372,-0.03911,63.205826,24.531494,-147.977081,,,
729606240.455415,-1.28402,0.606881,57.183024,-0.008789,-0.019806,0.993881,0.007943,-0.095372,-0.03911,63.205826,24.531494,-147.977081,,,
729606240.458687,-1.28402,0.606881,57.183024,-0.008789,-0.019806,0.993881,0.007943,-0.095372,-0.03911,63.205826,24.531494,-147.977081,,,
729606240.462016,-1.281384,0.577468,57.170359,-0.000778,-0.021301,0.99678,0.011945,-0.099494,-0.045943,63.205826,24.531494,-147.977081,,,
729606240.465343,-1.279727,0.542256,57.157193,-0.000778,-0.021301,0.99678,0.011945,-0.099494,-0.045943,63.205826,24.531494,-147.977081,,,
729606240.468735,-1.279727,0.542256,57.157193,-0.000778,-0.021301,0.99678,0.011945,-0.099494,-0.045943,63.205826,24.531494,-147.977081,,,
729606240.47201,-1.277174,0.515688,57.143368,0.003113,-0.021576,0.997253,0.008284,-0.08704,-0.051547,63.205826,24.531494,-147.977081,,,
729606240.47536,-1.275178,0.490081,57.128921,0.003113,-0.021576,0.997253,0.008284,-0.08704,-0.051547,63.205826,24.531494,-147.977081,,,
729606240.478672,-1.275178,0.490081,57.128921,0.003113,-0.021576,0.997253,0.008284,-0.08704,-0.051547,63.205826,24.531494,-147.977081,,,
729606240.482073,-1.27298,0.471234,57.114279,0.007751,-0.021698,0.99765,0.008762,-0.058549,-0.052731,63.205826,24.531494,-147.977081,,,
729606240.485353,-1.272718,0.460503,57.100038,0.007751,-0.021698,0.99765,0.008762,-0.058549,-0.052731,63.205826,24.531494,-147.977081,,,
729606240.488674,-1.272718,0.460503,57.100038,0.007751,-0.021698,0.99765,0.008762,-0.058549,-0.052731,63.205826,24.531494,-147.977081,,,
729606240.492004,-1.272572,0.450059,57.086635,0.008026,-0.024902,0.99852,0.00097,-0.029392,-0.047513,62.88327,24.641556,-148.401703,,,
729606240.495415,-1.275706,0.450189,57.074486,0.008026,-0.024902,0.99852,0.00097,-0.029392,-0.047513,62.88327,24.641556,-148.401703,,,
729606240.49867,-1.275706,0.450189,57.074486,0.008026,-0.024902,0.99852,0.00097,-0.029392,-0.047513,62.88327,24.641556,-148.401703,,,
729606240.502022,-1.276715,0.444442,57.063286,0.003265,-0.025436,0.995331,-0.003529,-0.015057,-0.041557,62.88327,24.641556,-148.401703,,,
729606240.505355,-1.279609,0.448324,57.052479,0.003265,-0.025436,0.995331,-0.003529,-0.015057,-0.041557,62.88327,24.641556,-148.401703,,,
729606240.508697,-1.279609,0.448324,57.052479,0.003265,-0.025436,0.995331,-0.003529,-0.015057,-0.041557,62.88327,24.641556,-148.401703,,,
729606240.512005,-1.27903,0.444322,57.041324,-0.000671,-0.02652,0.998016,0.005158,-0.007463,-0.039365,62.88327,24.641556,-148.401703,,,
729606240.515333,-1.276191,0.445276,57.030351,-0.000671,-0.02652,0.998016,0.005158,-0.007463,-0.039365,62.88327,24.641556,-148.401703,,,
729606240.518676,-1.276191,0.445276,57.030351,-0.000671,-0.02652,0.998016,0.005158,-0.007463,-0.039365,62.88327,24.641556,-148.401703,,,
729606240.522058,-1.270197,0.438608,57.019081,-0.004044,-0.029877,1.004074,0.024957,-0.021524,-0.041021,62.88327,24.641556,-148.401703,,,
729606240.525331,-1.261027,0.432369,57.008306,-0.004044,-0.029877,1.004074,0.024957,-0.021524,-0.041021,62.88327,24.641556,-148.401703,,,
729606240.528669,-1.261027,0.432369,57.008306,-0.004044,-0.029877,1.004074,0.024957,-0.021524,-0.041021,62.88327,24.641556,-148.401703,,,
729606240.532002,-1.248684,0.421661,56.998615,-0.014771,-0.033524,1.00441,0.048668,-0.035141,-0.034562,62.939163,24.513763,-148.300491,,,
729606240.535397,-1.232432,0.407586,56.989989,-0.014771,-0.033524,1.00441,0.048668,-0.035141,-0.034562,62.939163,24.513763,-148.300491,,,
729606240.53866,-1.232432,0.407586,56.989989,-0.014771,-0.033524,1.00441,0.048668,-0.035141,-0.034562,62.939163,24.513763,-148.300491,,,
729606240.542022,-1.214139,0.392003,56.982463,-0.018814,-0.032013,1.003906,0.065806,-0.052431,-0.028873,62.939163,24.513763,-148.300491,,,
729606240.545357,-1.193849,0.37185,56.975195,-0.018814,-0.032013,1.003906,0.065806,-0.052431,-0.028873,62.939163,24.513763,-148.300491,,,
729606240.548752,-1.193849,0.37185,56.975195,-0.018814,-0.032013,1.003906,0.065806,-0.052431,-0.028873,62.939163,24.513763,-148.300491,,,
729606240.551993,-1.172353,0.35344,56.967547,-0.014023,-0.026978,0.997086,0.07638,-0.060412,-0.025574,62.939163,24.513763,-148.300491,,,
729606240.555347,-1.151762,0.3316,56.958641,-0.014023,-0.026978,0.997086,0.07638,-0.060412,-0.025574,62.939163,24.513763,-148.300491,,,
729606240.558713,-1.151762,0.3316,56.958641,-0.014023,-0.026978,0.997086,0.07638,-0.060412,-0.025574,62.939163,24.513763,-148.300491,,,
729606240.562044,-1.132542,0.314545,56.948054,-0.008286,-0.020584,0.995422,0.065731,-0.0523,-0.039325,62.939163,24.513763,-148.300491,,,
729606240.565397,-1.116049,0.293905,56.935943,-0.008286,-0.020584,0.995422,0.065731,-0.0523,-0.039325,62.939163,24.513763,-148.300491,,,
729606240.568687,-1.116049,0.293905,56.935943,-0.008286,-0.020584,0.995422,0.065731,-0.0523,-0.039325,62.939163,24.513763,-148.300491,,,
729606240.572003,-1.101726,0.279955,56.923131,-0.006409,-0.013947,0.98587,0.048705,-0.04173,-0.046525,62.939163,24.513763,-148.300491,,,
729606240.575443,-1.09215,0.265322,56.910682,-0.006409,-0.013947,0.98587,0.048705,-0.04173,-0.046525,62.675537,24.466858,-148.38797,,,
729606240.578682,-1.09215,0.265322,56.910682,-0.006409,-0.013947,0.98587,0.048705,-0.04173,-0.046525,62.675537,24.466858,-148.38797,,,
729606240.582024,-1.083356,0.258423,56.899551,-0.011703,-0.014664,0.984924,0.027174,-0.01539,-0.038106,62.675537,24.466858,-148.38797,,,
729606240.585358,-1.078072,0.252423,56.890399,-0.011703,-0.014664,0.984924,0.027174,-0.01539,-0.038106,62.675537,24.466858,-148.38797,,,
729606240.588752,-1.078072,0.252423,56.890399,-0.011703,-0.014664,0.984924,0.027174,-0.01539,-0.038106,62.675537,24.466858,-148.38797,,,
729606240.591991,-1.072864,0.250207,56.883617,-0.016068,-0.019745,0.989288,0.01726,-0.001272,-0.022941,62.675537,24.466858,-148.38797,,,
729606240.595346,-1.071288,0.247705,56.878536,-0.016068,-0.019745,0.989288,0.01726,-0.001272,-0.022941,62.675537,24.466858,-148.38797,,,
729606240.598671,-1.071288,0.247705,56.878536,-0.016068,-0.019745,0.989288,0.01726,-0.001272,-0.022941,62.675537,24.466858,-148.38797,,,
729606240.601997,-1.06846,0.245673,56.875015,-0.016464,-0.023178,0.986938,0.010019,-0.007927,-0.009702,62.675537,24.466858,-148.38797,,,
729606240.605338,-1.067326,0.243175,56.872659,-0.016464,-0.023178,0.986938,0.010019,-0.007927,-0.009702,62.675537,24.466858,-148.38797,,,
729606240.608668,-1.067326,0.243175,56.872659,-0.016464,-0.023178,0.986938,0.010019,-0.007927,-0.009702,62.675537,24.466858,-148.38797,,,
729606240.612034,-1.060571,0.238333,56.871025,-0.018524,-0.023758,0.989456,0.026025,-0.014165,-0.005872,62.675537,24.466858,-148.38797,,,
729606240.615335,-1.053998,0.238944,56.869977,-0.018524,-0.023758,0.989456,0.026025,-0.014165,-0.005872,62.686188,24.435959,-148.376984,,,
729606240.618666,-1.053998,0.238944,56.869977,-0.018524,-0.023758,0.989456,0.026025,-0.014165,-0.005872,62.686188,24.435959,-148.376984,,,
729606240.622012,-1.040748,0.235631,56.869241,-0.02092,-0.019043,1.005402,0.049815,-0.008866,-0.003934,62.686188,24.435959,-148.376984,,,
729606240.62533,-1.027857,0.237043,56.869022,-0.02092,-0.019043,1.005402,0.049815,-0.008866,-0.003934,62.686188,24.435959,-148.376984,,,
729606240.628673,-1.027857,0.237043,56.869022,-0.02092,-0.019043,1.005402,0.049815,-0.008866,-0.003934,62.686188,24.435959,-148.376984,,,
729606240.631997,-1.011389,0.231658,56.869238,-0.011719,-0.01181,0.998886,0.055739,-0.020546,-0.001798,62.686188,24.435959,-148.376984,,,
729606240.635372,-0.996924,0.226973,56.869845,-0.011719,-0.01181,0.998886,0.055739,-0.020546,-0.001798,62.686188,24.435959,-148.376984,,,
729606240.638641,-0.996924,0.226973,56.869845,-0.011719,-0.01181,0.998886,0.055739,-0.020546,-0.001798,62.686188,24.435959,-148.376984,,,
729606240.642015,-0.981082,0.219766,56.870899,-0.007477,-0.01059,0.987411,0.053927,-0.020018,0.002891,62.686188,24.435959,-148.376984,,,
729606240.645339,-0.967032,0.215,56.872744,-0.007477,-0.01059,0.987411,0.053927,-0.020018,0.002891,62.686188,24.435959,-148.376984,,,
729606240.648671,-0.967032,0.215,56.872744,-0.007477,-0.01059,0.987411,0.053927,-0.020018,0.002891,62.686188,24.435959,-148.376984,,,
729606240.651993,-0.956283,0.209228,56.874689,-0.005829,-0.010284,0.984131,0.036892,-0.020356,0.00665,62.686188,24.435959,-148.376984,,,
729606240.655337,-0.949064,0.204081,56.876889,-0.005829,-0.010284,0.984131,0.036892,-0.020356,0.00665,62.730209,24.229523,-148.157471,,,
729606240.658677,-0.949064,0.204081,56.876889,-0.005829,-0.010284,0.984131,0.036892,-0.020356,0.00665,62.730209,24.229523,-148.157471,,,
729606240.662038,-0.947613,0.1966,56.879399,-0.001785,-0.007721,0.969681,0.002103,-0.024268,0.007311,62.730209,24.229523,-148.157471,,,
729606240.665403,-0.951051,0.192111,56.882335,-0.001785,-0.007721,0.969681,0.002103,-0.024268,0.007311,62.730209,24.229523,-148.157471,,,
729606240.668679,-0.951051,0.192111,56.882335,-0.001785,-0.007721,0.969681,0.002103,-0.024268,0.007311,62.730209,24.229523,-148.157471,,,
729606240.672038,-0.959364,0.181803,56.885786,-0.000214,-0.008362,0.968124,-0.032293,-0.034655,0.01025,62.730209,24.229523,-148.157471,,,
729606240.675221,-0.972947,0.173126,56.889015,-0.000214,-0.008362,0.968124,-0.032293,-0.034655,0.01025,62.730209,24.229523,-148.157471,,,
729606240.678554,-0.972947,0.173126,56.889015,-0.000214,-0.008362,0.968124,-0.032293,-0.034655,0.01025,62.730209,24.229523,-148.157471,,,
729606240.682083,-0.987524,0.155774,56.891584,0.002213,-0.013733,0.973709,-0.053357,-0.061481,0.008021,62.730209,24.229523,-148.157471,,,
729606240.685335,-1.005113,0.138428,56.893978,0.002213,-0.013733,0.973709,-0.053357,-0.061481,0.008021,62.730209,24.229523,-148.157471,,,
729606240.688669,-1.005113,0.138428,56.893978,0.002213,-0.013733,0.973709,-0.053357,-0.061481,0.008021,62.730209,24.229523,-148.157471,,,
729606240.692,-1.021745,0.113118,56.895531,0.003647,-0.016174,0.984222,-0.056081,-0.089517,0.002967,62.730209,24.229523,-148.157471,,,
729606240.695422,-1.038395,0.090757,56.896403,0.003647,-0.016174,0.984222,-0.056081,-0.089517,0.002967,62.796173,24.330627,-148.35025,,,
729606240.698712,-1.038395,0.090757,56.896403,0.003647,-0.016174,0.984222,-0.056081,-0.089517,0.002967,62.796173,24.330627,-148.35025,,,
729606240.702009,-1.052045,0.061143,56.896322,0.005386,-0.018341,0.999435,-0.04188,-0.101685,-0.001514,62.796173,24.330627,-148.35025,,,
729606240.705352,-1.061864,0.0354,56.894725,0.005386,-0.018341,0.999435,-0.04188,-0.101685,-0.001514,62.796173,24.330627,-148.35025,,,
729606240.708672,-1.061864,0.0354,56.894725,0.005386,-0.018341,0.999435,-0.04188,-0.101685,-0.001514,62.796173,24.330627,-148.35025,,,
729606240.712068,-1.068063,0.006602,56.890705,0.017868,-0.02005,1.012192,-0.017487,-0.094241,-0.018725,62.796173,24.330627,-148.35025,,,
729606240.715342,-1.068129,-0.014785,56.884284,0.017868,-0.02005,1.012192,-0.017487,-0.094241,-0.018725,62.796173,24.330627,-148.35025,,,
729606240.718671,-1.068129,-0.014785,56.884284,0.017868,-0.02005,1.012192,-0.017487,-0.094241,-0.018725,62.796173,24.330627,-148.35025,,,
729606240.72202,-1.065155,-0.034329,56.875969,0.029099,-0.021423,1.027939,0.015398,-0.059937,-0.029925,62.796173,24.330627,-148.35025,,,
729606240.725328,-1.057234,-0.04544,56.866278,0.029099,-0.021423,1.027939,0.015398,-0.059937,-0.029925,62.796173,24.330627,-148.35025,,,
729606240.728661,-1.057234,-0.04544,56.866278,0.029099,-0.021423,1.027939,0.015398,-0.059937,-0.029925,62.796173,24.330627,-148.35025,,,
729606240.732008,-1.04882,-0.053165,56.85648,0.023285,-0.024368,1.030106,0.032497,-0.01676,-0.035761,62.796173,24.330627,-148.35025,,,
729606240.735339,-1.036639,-0.053298,56.848241,0.023285,-0.024368,1.030106,0.032497,-0.01676,-0.035761,62.796173,24.330627,-148.35025,,,
729606240.738721,-1.036639,-0.053298,56.848241,0.023285,-0.024368,1.030106,0.032497,-0.01676,-0.035761,62.326111,24.354355,-148.333206,,,
729606240.742002,-1.025903,-0.049667,56.842291,0.010559,-0.028122,1.017014,0.036345,0.018823,-0.016972,62.326111,24.354355,-148.333206,,,
729606240.745408,-1.01376,-0.041263,56.839779,0.010559,-0.028122,1.017014,0.036345,0.018823,-0.016972,62.326111,24.354355,-148.333206,,,
729606240.748674,-1.01376,-0.041263,56.839779,0.010559,-0.028122,1.017014,0.036345,0.018823,-0.016972,62.326111,24.354355,-148.333206,,,
729606240.752077,-1.005896,-0.030051,56.840557,0.003067,-0.025192,1.006073,0.025094,0.046367,0.004364,62.326111,24.354355,-148.333206,,,
729606240.755329,-0.998426,-0.016902,56.843284,0.003067,-0.025192,1.006073,0.025094,0.046367,0.004364,62.326111,24.354355,-148.333206,,,
729606240.758675,-0.998426,-0.016902,56.843284,0.003067,-0.025192,1.006073,0.025094,0.046367,0.004364,62.326111,24.354355,-148.333206,,,
729606240.762017,-0.994197,-0.003125,56.846764,0.004288,-0.018784,1.000198,0.015476,0.050447,0.012,62.326111,24.354355,-148.333206,,,
729606240.765429,-0.991425,0.007974,56.849418,0.004288,-0.018784,1.000198,0.015476,0.050447,0.012,62.326111,24.354355,-148.333206,,,
729606240.76868,-0.991425,0.007974,56.849418,0.004288,-0.018784,1.000198,0.015476,0.050447,0.012,62.326111,24.354355,-148.333206,,,
729606240.772022,-0.990714,0.018158,56.850083,0.006088,-0.011032,0.990646,0.001388,0.034458,-9.2e-05,62.326111,24.354355,-148.333206,,,
729606240.775339,-0.991697,0.024333,56.848348,0.006088,-0.011032,0.990646,0.001388,0.034458,-9.2e-05,62.326111,24.354355,-148.333206,,,
729606240.778747,-0.991697,0.024333,56.848348,0.006088,-0.011032,0.990646,0.001388,0.034458,-9.2e-05,62.650223,24.282043,-148.200317,,,
729606240.78201,-0.994554,0.028514,56.843574,0.003494,-0.010193,0.988541,-0.009012,0.014031,-0.01916,62.650223,24.282043,-148.200317,,,
729606240.785349,-0.998589,0.025008,56.835645,0.003494,-0.010193,0.988541,-0.009012,0.014031,-0.01916,62.650223,24.282043,-148.200317,,,
729606240.788664,-0.998589,0.025008,56.835645,0.003494,-0.010193,0.988541,-0.009012,0.014031,-0.01916,62.650223,24.282043,-148.200317,,,
729606240.79207,-1.00084,0.019414,56.825738,-0.000153,-0.009171,0.983337,-0.007003,-0.021307,-0.036329,62.650223,24.282043,-148.200317,,,
729606240.795334,-1.001441,0.001612,56.814317,-0.000153,-0.009171,0.983337,-0.007003,-0.021307,-0.036329,62.650223,24.282043,-148.200317,,,
729606240.798677,-1.001441,0.001612,56.814317,-0.000153,-0.009171,0.983337,-0.007003,-0.021307,-0.036329,62.650223,24.282043,-148.200317,,,
729606240.802006,-0.999343,-0.010291,56.801768,-0.000107,-0.010361,0.99144,0.011881,-0.03639,-0.046422,62.650223,24.282043,-148.200317,,,
729606240.805413,-0.996287,-0.034695,56.78866,-0.000107,-0.010361,0.99144,0.011881,-0.03639,-0.046422,62.650223,24.282043,-148.200317,,,
729606240.808673,-0.996287,-0.034695,56.78866,-0.000107,-0.010361,0.99144,0.011881,-0.03639,-0.046422,62.650223,24.282043,-148.200317,,,
729606240.812013,-0.991168,-0.054177,56.776481,0.002472,-0.013229,0.994507,0.017324,-0.06858,-0.043745,62.650223,24.282043,-148.200317,,,
729606240.815343,-0.988066,-0.082224,56.76524,0.002472,-0.013229,0.994507,0.017324,-0.06858,-0.043745,62.650223,24.282043,-148.200317,,,
729606240.818663,-0.988066,-0.082224,56.76524,0.002472,-0.013229,0.994507,0.017324,-0.06858,-0.043745,62.429306,24.250504,-148.317719,,,
729606240.821935,-0.983224,-0.102762,56.755046,0.003723,-0.013336,0.988113,0.015919,-0.0646,-0.036355,62.429306,24.250504,-148.317719,,,
729606240.825357,-0.980845,-0.120448,56.745118,0.003723,-0.013336,0.988113,0.015919,-0.0646,-0.036355,62.429306,24.250504,-148.317719,,,
729606240.828675,-0.980845,-0.120448,56.745118,0.003723,-0.013336,0.988113,0.015919,-0.0646,-0.036355,62.429306,24.250504,-148.317719,,,
729606240.832092,-0.976329,-0.132127,56.734567,0.013,-0.008652,1.009415,0.019463,-0.033929,-0.040773,62.429306,24.250504,-148.317719,,,
729606240.835337,-0.974087,-0.141926,56.722837,0.013,-0.008652,1.009415,0.019463,-0.033929,-0.040773,62.429306,24.250504,-148.317719,,,
729606240.838679,-0.974087,-0.141926,56.722837,0.013,-0.008652,1.009415,0.019463,-0.033929,-0.040773,62.429306,24.250504,-148.317719,,,
729606240.842011,-0.973473,-0.151186,56.709796,0.023788,-0.003662,0.994766,-0.00137,-0.026215,-0.049584,62.429306,24.250504,-148.317719,,,
729606240.845393,-0.975807,-0.159533,56.696064,0.023788,-0.003662,0.994766,-0.00137,-0.026215,-0.049584,62.429306,24.250504,-148.317719,,,
729606240.84867,-0.975807,-0.159533,56.696064,0.023788,-0.003662,0.994766,-0.00137,-0.026215,-0.049584,62.429306,24.250504,-148.317719,,,
729606240.85201,-0.981527,-0.162853,56.682255,0.021072,-0.000397,0.984222,-0.021475,-0.004426,-0.048905,62.429306,24.250504,-148.317719,,,
729606240.855365,-0.988717,-0.163119,56.668172,0.021072,-0.000397,0.984222,-0.021475,-0.004426,-0.048905,62.429306,24.250504,-148.317719,,,
729606240.858744,-0.988717,-0.163119,56.668172,0.021072,-0.000397,0.984222,-0.021475,-0.004426,-0.048905,62.429306,24.250504,-148.317719,,,
729606240.861998,-0.99933,-0.160671,56.653082,0.017563,-0.001923,0.989258,-0.03738,0.013672,-0.054236,62.267487,24.411194,-148.206635,,,
729606240.865349,-1.009503,-0.158964,56.6369,0.017563,-0.001923,0.989258,-0.03738,0.013672,-0.054236,62.267487,24.411194,-148.206635,,,
729606240.868667,-1.009503,-0.158964,56.6369,0.017563,-0.001923,0.989258,-0.03738,0.013672,-0.054236,62.267487,24.411194,-148.206635,,,
729606240.87206,-1.022297,-0.160736,56.620174,0.018707,-0.00412,0.985001,-0.043991,-0.004506,-0.060528,62.267487,24.411194,-148.206635,,,
729606240.875333,-1.033141,-0.163259,56.603179,0.018707,-0.00412,0.985001,-0.043991,-0.004506,-0.060528,62.267487,24.411194,-148.206635,,,
729606240.878719,-1.033141,-0.163259,56.603179,0.018707,-0.00412,0.985001,-0.043991,-0.004506,-0.060528,62.267487,24.411194,-148.206635,,,
729606240.882124,-1.045887,-0.167279,56.586347,0.008667,-0.014221,0.986435,-0.04337,-0.009748,-0.059433,62.267487,24.411194,-148.206635,,,
729606240.885432,-1.05696,-0.171584,56.57002,0.008667,-0.014221,0.986435,-0.04337,-0.009748,-0.059433,62.267487,24.411194,-148.206635,,,
729606240.888683,-1.05696,-0.171584,56.57002,0.008667,-0.014221,0.986435,-0.04337,-0.009748,-0.059433,62.267487,24.411194,-148.206635,,,
729606240.892031,-1.068769,-0.176827,56.554858,0.002151,-0.022766,0.995117,-0.039307,-0.01578,-0.054587,62.267487,24.411194,-148.206635,,,
729606240.895346,-1.079044,-0.182528,56.541722,0.002151,-0.022766,0.995117,-0.039307,-0.01578,-0.054587,62.267487,24.411194,-148.206635,,,
729606240.898698,-1.079044,-0.182528,56.541722,0.002151,-0.022766,0.995117,-0.039307,-0.01578,-0.054587,62.267487,24.411194,-148.206635,,,
729606240.902005,-1.090215,-0.188615,56.5312,-0.005417,-0.028076,0.994217,-0.039186,-0.017468,-0.032788,62.467743,24.448395,-148.288376,,,
729606240.905344,-1.098683,-0.195639,56.523425,-0.005417,-0.028076,0.994217,-0.039186,-0.017468,-0.032788,62.467743,24.448395,-148.288376,,,
729606240.908767,-1.098683,-0.195639,56.523425,-0.005417,-0.028076,0.994217,-0.039186,-0.017468,-0.032788,62.467743,24.448395,-148.288376,,,
729606240.912013,-1.107064,-0.200557,56.516793,-0.002731,-0.027664,0.99852,-0.027053,-0.014533,-0.026875,62.467743,24.448395,-148.288376,,,
729606240.915349,-1.109963,-0.209267,56.50901,-0.002731,-0.027664,0.99852,-0.027053,-0.014533,-0.026875,62.467743,24.448395,-148.288376,,,
729606240.918694,-1.109963,-0.209267,56.50901,-0.002731,-0.027664,0.99852,-0.027053,-0.014533,-0.026875,62.467743,24.448395,-148.288376,,,
729606240.921993,-1.113277,-0.210927,56.499821,0.010178,-0.020279,1.006653,-0.010334,5e-05,-0.034736,62.467743,24.448395,-148.288376,,,
729606240.925331,-1.111373,-0.217843,56.489343,0.010178,-0.020279,1.006653,-0.010334,5e-05,-0.034736,62.467743,24.448395,-148.288376,,,
729606240.928672,-1.111373,-0.217843,56.489343,0.010178,-0.020279,1.006653,-0.010334,5e-05,-0.034736,62.467743,24.448395,-148.288376,,,
729606240.932033,-1.113866,-0.217319,56.478058,0.010696,-0.012192,1.005692,-0.008956,0.003604,-0.044825,62.467743,24.448395,-148.288376,,,
729606240.935393,-1.113614,-0.223717,56.466365,0.010696,-0.012192,1.005692,-0.008956,0.003604,-0.044825,62.467743,24.448395,-148.288376,,,
729606240.938672,-1.113614,-0.223717,56.466365,0.010696,-0.012192,1.005692,-0.008956,0.003604,-0.044825,62.467743,24.448395,-148.288376,,,
729606240.941994,-1.120069,-0.226953,56.455038,0.003693,-0.009521,0.985138,-0.023846,-0.010574,-0.041692,62.447128,24.284637,-147.953125,,,
729606240.945327,-1.125537,-0.236549,56.443631,0.003693,-0.009521,0.985138,-0.023846,-0.010574,-0.041692,62.447128,24.284637,-147.953125,,,
729606240.948695,-1.125537,-0.236549,56.443631,0.003693,-0.009521,0.985138,-0.023846,-0.010574,-0.041692,62.447128,24.284637,-147.953125,,,
729606240.952018,-1.137471,-0.240991,56.431875,0.007599,-0.002777,0.981491,-0.042657,-0.012021,-0.043084,62.447128,24.284637,-147.953125,,,
729606240.955357,-1.148426,-0.250253,56.419389,0.007599,-0.002777,0.981491,-0.042657,-0.012021,-0.043084,62.447128,24.284637,-147.953125,,,
729606240.95876,-1.148426,-0.250253,56.419389,0.007599,-0.002777,0.981491,-0.042657,-0.012021,-0.043084,62.447128,24.284637,-147.953125,,,
729606240.96201,-1.163533,-0.256937,56.407169,0.008484,-0.002914,0.98642,-0.054643,-0.019634,-0.041702,62.447128,24.284637,-147.953125,,,
729606240.96533,-1.178817,-0.265582,56.395363,0.008484,-0.002914,0.98642,-0.054643,-0.019634,-0.041702,62.447128,24.284637,-147.953125,,,
729606240.968679,-1.178817,-0.265582,56.395363,0.008484,-0.002914,0.98642,-0.054643,-0.019634,-0.041702,62.447128,24.284637,-147.953125,,,
729606240.972087,-1.195083,-0.274364,56.384398,0.002594,-0.010391,0.988541,-0.055415,-0.026976,-0.037966,62.447128,24.284637,-147.953125,,,
729606240.975319,-1.212177,-0.280911,56.374229,0.002594,-0.010391,0.988541,-0.055415,-0.026976,-0.037966,62.447128,24.284637,-147.953125,,,
729606240.978678,-1.212177,-0.280911,56.374229,0.002594,-0.010391,0.988541,-0.055415,-0.026976,-0.037966,62.447128,24.284637,-147.953125,,,
729606240.982003,-1.227595,-0.289136,56.364576,-0.001953,-0.018509,0.995773,-0.053284,-0.027134,-0.033545,62.293152,24.314301,-148.452911,,,
729606240.98541,-1.243899,-0.293218,56.355931,-0.001953,-0.018509,0.995773,-0.053284,-0.027134,-0.033545,62.293152,24.314301,-148.452911,,,
729606240.988661,-1.243899,-0.293218,56.355931,-0.001953,-0.018509,0.995773,-0.053284,-0.027134,-0.033545,62.293152,24.314301,-148.452911,,,
729606240.992005,-1.257552,-0.300898,56.348334,-0.001221,-0.020706,0.997101,-0.047478,-0.023102,-0.024243,62.293152,24.314301,-148.452911,,,
729606240.995328,-1.270835,-0.306156,56.342534,-0.001221,-0.020706,0.997101,-0.047478,-0.023102,-0.024243,62.293152,24.314301,-148.452911,,,
729606240.998735,-1.270835,-0.306156,56.342534,-0.001221,-0.020706,0.997101,-0.047478,-0.023102,-0.024243,62.293152,24.314301,-148.452911,,,
729606241.002002,-1.281533,-0.3097,56.338251,-0.00296,-0.020981,1.002258,-0.033259,-0.008531,-0.014999,62.293152,24.314301,-148.452911,,,
729606241.005327,-1.28844,-0.311833,56.335933,-0.00296,-0.020981,1.002258,-0.033259,-0.008531,-0.014999,62.293152,24.314301,-148.452911,,,
729606241.008675,-1.28844,-0.311833,56.335933,-0.00296,-0.020981,1.002258,-0.033259,-0.008531,-0.014999,62.293152,24.314301,-148.452911,,,
729606241.012064,-1.294403,-0.30743,56.335626,-0.003189,-0.02449,1.013596,-0.017096,0.022885,-0.001389,62.293152,24.314301,-148.452911,,,
729606241.01535,-1.294739,-0.301051,56.336042,-0.003189,-0.02449,1.013596,-0.017096,0.022885,-0.001389,62.293152,24.314301,-148.452911,,,
729606241.018675,-1.294739,-0.301051,56.336042,-0.003189,-0.02449,1.013596,-0.017096,0.022885,-0.001389,62.293152,24.314301,-148.452911,,,
729606241.022005,-1.293639,-0.293086,56.337345,-0.001999,-0.02533,1.015167,0.010029,0.029233,0.003126,62.293152,24.314301,-148.452911,,,
729606241.025389,-1.285064,-0.285047,56.339442,-0.001999,-0.02533,1.015167,0.010029,0.029233,0.003126,62.352921,24.358856,-148.331482,,,
729606241.028677,-1.285064,-0.285047,56.339442,-0.001999,-0.02533,1.015167,0.010029,0.029233,0.003126,62.352921,24.358856,-148.331482,,,
729606241.032009,-1.277178,-0.277456,56.341658,-0.004379,-0.028229,1.0112,0.027982,0.030662,0.006533,62.352921,24.358856,-148.331482,,,
729606241.035351,-1.262828,-0.271109,56.343603,-0.004379,-0.028229,1.0112,0.027982,0.030662,0.006533,62.352921,24.358856,-148.331482,,,
729606241.038358,-1.262828,-0.271109,56.343603,-0.004379,-0.028229,1.0112,0.027982,0.030662,0.006533,62.352921,24.358856,-148.331482,,,
729606241.042033,-1.25224,-0.263732,56.344719,-0.004944,-0.023468,1.010254,0.038107,0.028937,0.000755,62.352921,24.358856,-148.331482,,,
